Machine,Category,Status,Started,Closed,Mins
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,1/6/2021,1/6/2021,45
Sputter Machine,Other,DOWN FOR REPAIR,1/6/2021,1/6/2021,30
Sputter Machine,Pallet not sensed,RUNNING BUT HAVING PROBLEMS,1/7/2021,1/7/2021,30
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,1/8/2021,1/8/2021,10
Sputter Machine,Pallet not sensed,ENGINEER TESTING,1/8/2021,1/11/2021,480
Sputter Machine,Pallet not sensed,ENGINEER TESTING,1/11/2021,1/14/2021,480
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,1/19/2021,1/19/2021,0
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,1/26/2021,1/26/2021,20
Sputter Machine,Load lock vacuum not in-spec,DOWN FOR REPAIR,2/3/2021,2/3/2021,15
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,2/5/2021,2/5/2021,10
Sputter Machine,Target 3 low,RUNNING BUT HAVING PROBLEMS,2/4/2021,2/5/2021,120
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,2/8/2021,2/8/2021,20
Sputter Machine,Other,DOWN FOR REPAIR,2/9/2021,2/9/2021,20
Sputter Machine,Other,DOWN FOR REPAIR,2/9/2021,2/9/2021,5
Sputter Machine,Other,ENGINEER TESTING,2/10/2021,2/11/2021,60
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,2/11/2021,2/11/2021,20
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,2/12/2021,2/12/2021,120
Sputter Machine,Computer error,RUNNING BUT HAVING PROBLEMS,2/16/2021,2/16/2021,10
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,2/19/2021,2/19/2021,15
Sputter Machine,Water flow low,DOWN FOR REPAIR,3/1/2021,3/1/2021,10
Sputter Machine,Load lock vacuum not in-spec,DOWN FOR REPAIR,3/5/2021,3/8/2021,180
Sputter Machine,Other,DOWN FOR REPAIR,3/8/2021,3/8/2021,10
Sputter Machine,Load lock vacuum not in-spec,DOWN FOR REPAIR,3/9/2021,3/9/2021,0
Sputter Machine,Load lock vacuum not in-spec,RUNNING BUT HAVING PROBLEMS,3/10/2021,3/10/2021,10
Sputter Machine,Target low,DOWN FOR REPAIR,3/12/2021,3/12/2021,180
Sputter Machine,Gas level low,RUNNING BUT HAVING PROBLEMS,3/17/2021,3/17/2021,15
Sputter Machine,Target 2 low,DOWN FOR REPAIR,3/18/2021,3/19/2021,300
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,3/19/2021,3/19/2021,20
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,3/26/2021,3/26/2021,20
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,3/30/2021,3/30/2021,10
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,4/5/2021,4/5/2021,15
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,4/9/2021,4/9/2021,90
Sputter Machine,Other,DOWN FOR REPAIR,4/14/2021,4/14/2021,90
Sputter Machine,Other,DOWN FOR REPAIR,4/12/2021,4/14/2021,480
Sputter Machine,Gas level low,DOWN FOR REPAIR,4/16/2021,4/16/2021,15
Sputter Machine,Other,DOWN FOR REPAIR,4/19/2021,4/19/2021,10
Sputter Machine,Water flow low,DOWN FOR REPAIR,4/22/2021,4/22/2021,90
Sputter Machine,Target 3 low,ENGINEER TESTING,4/22/2021,4/23/2021,120
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,4/26/2021,4/26/2021,20
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,5/3/2021,5/3/2021,5
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,5/10/2021,5/13/2021,600
Sputter Machine,Chamber vacuum not in-spec,DOWN FOR REPAIR,5/13/2021,5/13/2021,1
Sputter Machine,Load lock vacuum not in-spec,RUNNING BUT HAVING PROBLEMS,5/14/2021,5/14/2021,20
Sputter Machine,Other,PREVENTATIVE MAINTENANCE,5/24/2021,5/24/2021,15
Sputter Machine,Pallet not sensed,ENGINEER TESTING,5/25/2021,5/26/2021,105
Sputter Machine,Gas level low,RUNNING BUT HAVING PROBLEMS,5/26/2021,5/26/2021,30
Sputter Machine,Water flow low,DOWN FOR REPAIR,6/1/2021,6/1/2021,15
Sputter Machine,Other,DOWN FOR REPAIR,6/1/2021,6/3/2021,120
Sputter Machine,Target 3 low,RUNNING BUT HAVING PROBLEMS,5/26/2021,6/3/2021,90
Sputter Machine,Other,DOWN FOR REPAIR,6/7/2021,6/7/2021,15
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,6/11/2021,6/11/2021,90
Sputter Machine,Computer error,DOWN FOR REPAIR,6/15/2021,6/15/2021,70.2
Sputter Machine,Computer error,DOWN FOR REPAIR,6/15/2021,6/15/2021,10
Sputter Machine,Water flow low,RUNNING BUT HAVING PROBLEMS,6/21/2021,6/21/2021,10
Sputter Machine,Plasma etch not in-spec,DOWN FOR REPAIR,6/25/2021,6/25/2021,10
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,6/25/2021,6/25/2021,180
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,6/30/2021,7/1/2021,79.8
Sputter Machine,Other,ENGINEER TESTING,7/19/2021,7/20/2021,90
Sputter Machine,Plasma etch not in-spec,DOWN FOR REPAIR,7/20/2021,7/20/2021,15
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,7/23/2021,7/24/2021,360
Sputter Machine,Chamber vacuum not in-spec,RUNNING BUT HAVING PROBLEMS,8/4/2021,8/4/2021,60
Sputter Machine,Target 1 low,DOWN FOR REPAIR,8/4/2021,8/10/2021,180
Sputter Machine,Heat lamps not turning on,DOWN FOR REPAIR,8/10/2021,8/10/2021,420
Sputter Machine,Pallet not sensed,DOWN FOR REPAIR,8/18/2021,8/18/2021,30
Sputter Machine,Other,ENGINEER TESTING,9/2/2021,9/2/2021,240
Sputter Machine,Other,ENGINEER TESTING,9/2/2021,9/3/2021,5
Sputter Machine,Computer error,DOWN FOR REPAIR,9/29/2021,9/29/2021,30
Sputter Machine,Gas level low,RUNNING BUT HAVING PROBLEMS,10/4/2021,10/4/2021,15
Sputter Machine,Other,PREVENTATIVE MAINTENANCE,10/4/2021,10/4/2021,270
Sputter Machine,Target 3 low,PREVENTATIVE MAINTENANCE,10/6/2021,10/7/2021,120
Sputter Machine,Chamber vacuum not in-spec,DOWN FOR REPAIR,10/21/2021,10/21/2021,20
Sputter Machine,Target 1 low,RUNNING BUT HAVING PROBLEMS,10/25/2021,10/28/2021,90
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,11/10/2021,11/10/2021,30
Sputter Machine,Chamber vacuum not in-spec,RUNNING BUT HAVING PROBLEMS,11/23/2021,11/23/2021,5
Sputter Machine,Other,PREVENTATIVE MAINTENANCE,11/27/2021,11/27/2021,15
Sputter Machine,Computer error,DOWN FOR REPAIR,12/1/2021,12/1/2021,5
Sputter Machine,Target 3 low,RUNNING BUT HAVING PROBLEMS,12/2/2021,12/6/2021,150
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,12/3/2021,12/6/2021,10
Sputter Machine,Gas level low,RUNNING BUT HAVING PROBLEMS,12/1/2021,12/10/2021,15
Sputter Machine,Heat lamps not turning on,RUNNING BUT HAVING PROBLEMS,11/23/2021,12/10/2021,120
Sputter Machine,Gas level low,RUNNING BUT HAVING PROBLEMS,12/14/2021,12/14/2021,20
Sputter Machine,Gas level low,RUNNING BUT HAVING PROBLEMS,12/21/2021,12/21/2021,30
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,12/22/2021,12/22/2021,5
Sputter Machine,Chamber vacuum not in-spec,RUNNING BUT HAVING PROBLEMS,1/7/2022,1/7/2022,180
Sputter Machine,Computer error,DOWN FOR REPAIR,1/10/2022,1/10/2022,30
Sputter Machine,Other,RUNNING BUT HAVING PROBLEMS,1/10/2022,1/11/2022,360
Sputter Machine,Target 1 low,RUNNING BUT HAVING PROBLEMS,1/21/2022,1/27/2022,240
Sputter Machine,Pallet travel error,DOWN FOR REPAIR,1/31/2022,2/1/2022,90
Sputter Machine,Target 3 low,RUNNING BUT HAVING PROBLEMS,1/28/2022,2/3/2022,90
Sputter Machine,Target 2 low,DOWN FOR REPAIR,2/16/2022,2/17/2022,60
Sputter Machine,Chamber vacuum not in-spec,DOWN FOR REPAIR,3/1/2022,3/1/2022,10
Sputter Machine,Other,DOWN FOR REPAIR,3/8/2022,3/8/2022,15
Sputter Machine,Other,ENGINEER TESTING,3/9/2022,3/10/2022,240
Sputter Machine,Chamber vacuum not in-spec,DOWN FOR REPAIR,3/16/2022,3/16/2022,20
Sputter Machine,Target 3 low,DOWN FOR REPAIR,3/14/2022,3/21/2022,120
Sputter Machine,Gas level low,RUNNING BUT HAVING PROBLEMS,3/22/2022,3/22/2022,20
Sputter Machine,Target 2 low,DOWN FOR REPAIR,3/23/2022,3/24/2022,240
Sputter Machine,Target 2 low,RUNNING BUT HAVING PROBLEMS,3/14/2022,3/24/2022,1
Sputter Machine,Target 1 low,ENGINEER TESTING,3/17/2022,3/25/2022,90
